"date","price","open","high","low","vol"
2018-05-17,3154.28,3170.01,3172.77,3148.62,1.14e+10
2018-05-18,3193.3,3151.08,3193.45,3144.78,1.365e+10
2018-05-21,3213.84,3206.18,3219.74,3203.34,1.645e+10
2018-05-22,3214.35,3211.25,3214.59,3192.23,1.443e+10
2018-05-23,3168.96,3205.44,3205.44,3168.96,1.578e+10
2018-05-24,3154.65,3167.94,3173.53,3152.07,1.241e+10
2018-05-25,3141.3,3148.41,3156.73,3131.07,1.286e+10
2018-05-28,3135.08,3136.81,3149.66,3115.96,1.288e+10
2018-05-29,3120.46,3129.62,3143.21,3112.15,1.357e+10
2018-05-30,3041.44,3081.14,3085.4,3041,1.551e+10
2018-05-31,3095.47,3061.83,3098.08,3054.27,1.405e+10
2018-06-01,3075.14,3084.75,3102.09,3059.79,1.299e+10
2018-06-04,3091.19,3083.43,3098.4,3076.99,1.146e+10
2018-06-05,3114.21,3088.01,3114.77,3080.05,1.187e+10
2018-06-06,3115.18,3109.17,3117.53,3103.53,1.202e+10
2018-06-07,3109.5,3121.18,3128.72,3105.58,1.278e+10
2018-06-08,3067.15,3100.6,3100.68,3053.29,1.347e+10
2018-06-11,3052.78,3057.34,3063.61,3037.91,1.086e+10
2018-06-12,3079.8,3053.03,3081.45,3034.1,1.133e+10
2018-06-13,3049.8,3071.46,3071.46,3044.12,1.196e+10
2018-06-14,3044.16,3038.07,3066.05,3032.41,1.155e+10
2018-06-15,3021.9,3037.45,3048.8,3008.73,1.445e+10
2018-06-19,2907.82,2982.65,2984.97,2871.35,2.305e+10
2018-06-20,2915.73,2889.98,2925.56,2872.16,1.443e+10
2018-06-21,2875.81,2912,2940.59,2872.62,1.544e+10
2018-06-22,2889.76,2855.58,2891.97,2837.14,1.261e+10
2018-06-25,2859.34,2903.45,2908.62,2857.87,1.219e+10
2018-06-26,2844.51,2829.99,2850.24,2803.79,1.259e+10
2018-06-27,2813.18,2842.4,2854.26,2798.8,1.294e+10
2018-06-28,2786.9,2799.9,2825.99,2782.45,1.184e+10
2018-06-29,2847.42,2789.81,2848.37,2782.38,1.257e+10
2018-07-02,2775.56,2841.58,2845.68,2756.82,1.37e+10
2018-07-03,2786.89,2774.57,2786.89,2722.45,1.425e+10
2018-07-04,2759.13,2776.63,2793.18,2754.16,1.233e+10
2018-07-05,2733.88,2755.34,2777.52,2727.94,1.292e+10
2018-07-06,2747.23,2731.35,2768.87,2691.02,1.363e+10
2018-07-09,2815.11,2752.45,2815.79,2752.45,1.215e+10
2018-07-10,2827.63,2819.71,2828.49,2800.63,1.171e+10
2018-07-11,2777.77,2780.7,2794.36,2752.43,1.268e+10
2018-07-12,2837.66,2771.04,2844.19,2771.04,1.47e+10
2018-07-13,2831.18,2831.43,2835.46,2818.85,1.177e+10
2018-07-16,2814.04,2827.08,2837.51,2804.49,1.078e+10
